exp,epoch,train_loss,val_loss,val_score,threshold
exp_30-03-2021-09-36_f0,0,14.192473653868918,inf,"tensor(0.6379, device='cuda:0')",0.7
exp_30-03-2021-09-36_f0,1,14.17866310261902,inf,"tensor(0.6386, device='cuda:0')",0.7
exp_30-03-2021-09-36_f0,2,11.302150432880108,inf,"tensor(0.7245, device='cuda:0')",0.8
exp_30-03-2021-09-36_f0,3,7.464412063429683,inf,"tensor(0.7480, device='cuda:0')",0.74
exp_30-03-2021-09-36_f0,4,6.098200104453347,inf,"tensor(0.7623, device='cuda:0')",0.73
exp_30-03-2021-09-36_f0,5,5.455672766500975,inf,"tensor(0.7727, device='cuda:0')",0.74
exp_30-03-2021-09-36_f0,6,5.032987254482883,inf,"tensor(0.7809, device='cuda:0')",0.74
exp_30-03-2021-09-36_f0,7,4.713341620696452,inf,"tensor(0.7826, device='cuda:0')",0.72
exp_30-03-2021-09-36_f0,8,4.4468909771570235,inf,"tensor(0.7866, device='cuda:0')",0.72
exp_30-03-2021-09-36_f0,9,4.22129822333098,inf,"tensor(0.7917, device='cuda:0')",0.72
exp_30-03-2021-09-36_f0,10,4.014849598869022,inf,"tensor(0.7881, device='cuda:0')",0.72
exp_30-03-2021-09-36_f0,11,3.828934376056378,inf,"tensor(0.7919, device='cuda:0')",0.72
exp_30-03-2021-09-36_f0,12,3.65436143085951,inf,"tensor(0.7933, device='cuda:0')",0.7
exp_30-03-2021-09-36_f0,13,3.501783470451693,inf,"tensor(0.7910, device='cuda:0')",0.72
exp_30-03-2021-09-36_f0,14,3.369302243341655,inf,"tensor(0.7923, device='cuda:0')",0.71
exp_30-03-2021-09-36_f0,15,3.25503318904441,inf,"tensor(0.7932, device='cuda:0')",0.71
exp_30-03-2021-09-36_f0,16,3.155324176752762,inf,"tensor(0.7943, device='cuda:0')",0.71
exp_30-03-2021-09-36_f0,17,3.0789065049800564,inf,"tensor(0.7936, device='cuda:0')",0.7
exp_30-03-2021-09-36_f0,18,3.0296205429486185,inf,"tensor(0.7957, device='cuda:0')",0.7
exp_30-03-2021-09-36_f0,19,2.9951375336635917,inf,"tensor(0.7934, device='cuda:0')",0.72
